
Some relays changed their fingerprints, and the PPTOR... group there was unusally high number acting as the Induction points


mysql> SELECT nick, fingerprint, identity, ip, consensus FROM agorahooawayyfoe where nick like '%PPTOR%' group by fingerprint;






+-----------+------------------------------------------+-----------------------------+-----------------+-------------------------------+
| nick      | fingerprint                              | identity                    | ip              | consensus                     |
+-----------+------------------------------------------+-----------------------------+-----------------+-------------------------------+
| PPTOR0041 | 08ad18be5493c9ecae12e060e4846e80265ae436 | CK0YvlSTyeyuEuBg5IRugCZa5DY | 176.10.115.98   | 2014-09-09-01-00-00-consensus |
| PPTOR0014 | 151507d30e097bdec8551da40730322c1688318e | FRUH0w4Je97IVR2kBzAyLBaIMY4 | 217.114.213.18  | 2014-07-05-01-00-00-consensus |
| PPTOR0012 | 2704a6d7a819dccfd891197524133853858f2f3b | JwSm16gZ3M/YkRl1JBM4U4WPLzs | 41.215.241.234  | 2015-02-20-00-00-00-consensus |
| PPTOR0003 | 288a33876a0b0ee9e6af5a18d9b3638d8a2b63b2 | KIozh2oLDunmr1oY2bNjjYorY7I | 31.204.153.49   | 2015-01-29-00-00-00-consensus |
| PPTOR0021 | 303dd6b1dc9728356b188fa111ef01d3b2947367 | MD3WsdyXKDVrGI+hEe8B07KUc2c | 5.149.250.53    | 2015-01-28-00-00-00-consensus |
| PPTOR0011 | 3507e19b52b0e6085f09ce25f9464743c5ae6541 | NQfhm1Kw5ghfCc4l+UZHQ8WuZUE | 213.239.217.228 | 2014-07-08-01-00-00-consensus |
| PPTOR0040 | 4586e04cb41e1ba1c78856e22502bb07e7260a44 | RYbgTLQeG6HHiFbiJQK7B+cmCkQ | 94.242.243.66   | 2014-06-25-05-00-00-consensus |
| PPTOR0016 | 4e0986f14e34371ac44d15d9fc2b37bfc89337d9 | TgmG8U40NxrETRXZ/Cs3v8iTN9k | 178.162.194.30  | 2014-10-16-01-00-00-consensus |
| PPTOR0001 | 558dd4b58d309922177cac1fe3f5f4a20286a9b9 | VY3UtY0wmSIXfKwf4/X0ogKGqbk | 177.47.109.21   | 2015-01-29-00-00-00-consensus |
| PPTOR0007 | 56b296655cd0c1148c776777881fad33b0c33438 | VrKWZVzQwRSMd2d3iB+tM7DDNDg | 31.204.150.138  | 2014-11-30-00-00-00-consensus |
| PPTOR0010 | 5ccdc37c00cfeb0d022b0f4dfd7d177dced399f3 | XM3DfADP6w0CKw9N/X0Xfc7TmfM | 202.60.66.32    | 2014-07-12-01-00-00-consensus |
| PPTOR0036 | 70c72cb33ca2f84a494b44d36f19eefd57a70c10 | cMcsszyi+EpJS0TTbxnu/VenDBA | 193.105.134.117 | 2014-12-27-00-00-00-consensus |
| PPTOR0013 | 7ab55d9d371bbf00a8164f0b625dcc2a7c220283 | erVdnTcbvwCoFk8LYl3MKnwiAoM | 67.202.67.106   | 2014-11-29-00-00-00-consensus |
