
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| Unnamed             | c487de2f889c7ecac7d578ec003c0e0c0634edc5 | xIfeL4icfsrH1XjsADwODAY07cU | 89.105.41.162   |            9523 |
| default             | 26876be46c485da9f732904d8145b3066d808c39 | Jodr5GxIXan3MpBNgUWzBm2AjDk | 70.145.19.4     |            3799 |
| ddwrt               | 36a91b26e6416784ade00c7d35b7c1942c825d28 | NqkbJuZBZ4St4Ax9NbfBlCyCXSg | 212.159.108.31  |             173 |
| IWillKeepYouSafe    | df7e420a9dc836f40e0787c6e9f5e9fc7eb4dcb2 | 335CCp3INvQOB4fG6fXp/H603LI | 84.209.73.36    |             120 |
| Sunflower           | cde18eb5ff62d741681f779cea483c67a09c675f | zeGOtf9i10FoH3ec6kg8Z6CcZ18 | 205.164.14.235  |             120 |
| eltoro              | b112a518284337d72f595cd9f32006db909ba9b4 | sRKlGChDN9cvWVzZ8yAG25CbqbQ | 37.187.23.135   |             120 |
| ididnteditheconfig  | e1fdf9d3f360e1c8e12ba22ab0062c931122f354 | 4f350/Ng4cjhK6IqsAYskxEi81Q | 97.118.166.205  |             101 |
| WhatcomTOR          | defcc431a78a42b8ab15c573a9bd103a105a36c3 | 3vzEMaeKQrirFcVzqb0QOhBaNsM | 24.19.198.201   |              96 |
| brot                | df0fee3b8a6233f6652d96b0a00c2188bbbd41ba | 3w/uO4piM/ZlLZawoAwhiLu9Qbo | 87.245.125.255  |              96 |
| FreedomNode         | 90b155c71afb20df6d0eaa260bf54265d70b036a | kLFVxxr7IN9tDqomC/VCZdcLA2o | 174.65.1.39     |              96 |
| okcon2              | e819a6170cddf3b3a8398fa067d0f7c92054945c | 6BmmFwzd87OoOY+gZ9D3ySBUlFw | 192.241.199.208 |              96 |
| rcgn                | e97ba80de494ae2092373ccf40c68548146f8753 | 6XuoDeSUriCSNzzPQMaFSBRvh1M | 76.188.96.15    |              96 |
| Ramme               | e9abfd7599f6b1cd55eb6e55f633409e1a937c21 | 6av9dZn2sc1V625V9jNAnhqTfCE | 46.32.41.57     |              88 |
| JerseyBean          | d9726ae88f87349937d60a7699f21eac48df9bb8 | 2XJq6I+HNJk31gp2mfIerEjfm7g | 87.244.91.122   |              81 |
| toxiroxiNL          | df02c2de25397f8d3e019cb2f2a0a8e7161b0993 | 3wLC3iU5f40+AZyy8qCo5xYbCZM | 185.14.28.10    |              81 |
| Orion               | 0819623ab0124fcb76672f2b5db52a1ad6346748 | CBliOrAST8t2Zy8rXbUqGtY0Z0g | 98.191.134.30   |              81 |
| ZZZheyfuckyou       | cde4ebcca48a19bc5e0a46619b3ee64607d6e5e7 | zeTrzKSKGbxeCkZhmz7mRgfW5ec | 68.43.186.129   |              77 |
| rawnconnect         | ebe5b6d6fbb7600b15bef6fcaf40bc900ea1f667 | 6+W21vu3YAsVvvb8r0C8kA6h9mc | 192.241.222.240 |              73 |
| betacluster         | 85f4a6e288f9a5fd411b7d88b7fbdd220f08eacd | hfSm4oj5pf1BG32It/vdIg8I6s0 | 192.3.172.58    |              72 |
| assk2               | 1a7a34fd161eef2320728e79fb56391660329955 | Gno0/RYe7yMgco55+1Y5FmAymVU | 78.108.63.44    |              72 |
| Dalm4t              | 8c55522a0f2a86782293288cd034c4cf9ef7d763 | jFVSKg8qhngikyiM0DTEz57312M | 88.183.56.135   |              72 |
| futai               | c1c40047df1b55ce07d4b814c1164e3574bd5bfb | wcQAR98bVc4H1LgUwRZONXS9W/s | 37.221.160.12   |              72 |
| teller              | e46979a3053d43adf187463a6e4856c875bc8c89 | 5Gl5owU9Q63xh0Y6bkhWyHW8jIk | 69.164.221.78   |              72 |
| lumumba             | 24b1f63f7df9f85d711864811cc401be5eb5fb9a | JLH2P335+F1xGGSBHMQBvl61+5o | 77.247.181.163  |              72 |
| PPTOR0001           | 7e84ca57e162528438dc8760b48bcbfa3dc27e18 | foTKV+FiUoQ43IdgtIvL+j3Cfhg | 177.47.109.21   |              72 |
| sarthouse           | fb856c112dcf1c0b907762eaf4aa6af019a3a9aa | +4VsES3PHAuQd2Lq9Kpq8Bmjqao | 209.6.229.2     |              72 |
| defiant             | 936348c230d79a764921742d016dc525189ccc4b | k2NIwjDXmnZJIXQtAW3FJRiczEs | 80.216.107.8    |              72 |
| RASPTOR             | d80b61d7ec21b69fd5eb6846548dd0ee52459201 | 2Ath1+whtp/V62hGVI3Q7lJFkgE | 178.155.222.190 |              72 |
