mysql> SELECT nick, fingerprint, identity, ip, count(identity) FROM silkroad6ownowfk GROUP BY fingerprint;
+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| torrot              | 084a1fafe722a7ce46f470191748ae3233fe477c | CEofr+cip85G9HAZF0iuMjP+R3w | 198.27.76.188   |             468 |
| LiveFreeOrDie777    | 084c5ede763c984d8274db001c9145c8a66c06b3 | CExe3nY8mE2CdNsAHJFFyKZsBrM | 178.62.152.113  |             173 |
| thegreenripperishid | 0850aac3a8003b9617ea2820cd04d5bc51502a87 | CFCqw6gAO5YX6iggzQTVvFFQKoc | 88.176.180.7    |            2316 |
| SaunterFlat         | 08542c041b8810ff33b471b03f65c4846d67321b | CFQsBBuIEP8ztHGwP2XEhG1nMhs | 173.230.152.5   |            5697 |
| 0xRADIUM            | 0858f19801dc8b969ad7e780223ba0174568e321 | CFjxmAHci5aa1+eAIjugF0Vo4yE | 151.236.24.228  |           10017 |
| collonadesva19      | 085a3d94c1623ff3eb4896ed30e701ab47b55eb1 | CFo9lMFiP/PrSJbtMOcBq0e1XrE | 76.4.93.67      |            3636 |
| QuasWexExort        | 085a7ab20fec022c466c0ced2b984759dbfe8735 | CFp6sg/sAixGbAztK5hHWdv+hzU | 65.30.54.130    |              65 |
| Exekute             | 085aa680165a0181665d6768bec2454c95d89581 | CFqmgBZaAYFmXWdovsJFTJXYlYE | 204.45.182.226  |            7426 |
| default             | 085b2fa8c4744131319df032740c7757866cf660 | CFsvqMR0QTExnfAydAx3V4Zs9mA | 91.154.123.44   |              37 |
| default             | 086215daf9dc201a9f24707009ad162bbaac7c65 | CGIV2vncIBqfJHBwCa0WK7qsfGU | 87.206.148.227  |             562 |
| ILikeTurtles        | 086dd1401ea27e25a720b63186ad11066119e768 | CG3RQB6ifiWnILYxhq0RBmEZ52g | 71.85.128.188   |            1951 |
| JohnGaltsPi         | 0873687fbe19f9eb47384dd25b5c85fa83305b8a | CHNof74Z+etHOE3SW1yF+oMwW4o | 95.80.9.54      |            1737 |
| icebeerNLXeonFour   | 087a6e0b984fdec1dfa4458c9b244f2791750e3f | CHpuC5hP3sHfpEWMmyRPJ5F1Dj8 | 213.163.71.84   |            1741 |
| Unnamed             | 087b7f1fd5f3483c4a3c8ee9d8bb2172e0e6b59e | CHt/H9XzSDxKPI7p2LshcuDmtZ4 | 50.7.134.101    |              99 |
| rasptor001          | 087ece6cf9a1ac3749549670367660150e185f6f | CH7ObPmhrDdJVJZwNnZgFQ4YX28 | 85.216.87.63    |             658 |
| 8lyWARGTU4wesrfy8i  | 0882440874034afbe2fbf16463a290f3278e24f7 | CIJECHQDSvvi+/FkY6KQ8yeOJPc | 176.58.121.159  |             557 |
| VMDKHOSTINGCOM      | 088ede376412c7e92d007b5e8c798c66f96becca | CI7eN2QSx+ktAHtejHmMZvlr7Mo | 64.182.230.99   |              39 |
| Unnamed             | 08c374652830d0e40e0aceeb738ab1dab3552b4a | CMN0ZSgw0OQOCs7rc4qx2rNVK0o | 50.155.192.234  |              75 |
| OnionSoup           | 08d22679377c9ef701193c1f199d9b0b3f1aee3c | CNImeTd8nvcBGTwfGZ2bCz8a7jw | 87.195.253.3    |              23 |
| endian              | 08e032b7a84dd4934006bebbce4a57dfdbf90ce1 | COAyt6hN1JNABr67zkpX39v5DOE | 85.10.228.31    |             326 |
| bauruine73          | 08f27957f4a2a9b9db1c60b2c47e5ba0a3fd2299 | CPJ5V/SiqbnbHGCyxH5boKP9Ipk | 212.83.154.33   |             117 |
